filename;hide_color;use_stratification;num_samples;dist_fn;segments;max_dist;kernal_size;segs_range;model_name;f_x;g_x;q05_Y;q95_Y;q01_Y;q99_Y;std_Y;std_abs_Y;r2;maxval;local_pred;intercept;std_beta;std_abs_beta;mean_beta;mean_abs_beta;q05_beta;q95_beta;q01_beta;q99_beta;q25_beta;q75_beta;q10_beta;q90_beta;max_beta;min_beta;cv_beta;cv_abs_beta;RC_Y
00000001;mean-filled;False;1000;cosine;50;7.2265625;4;[0, 50];ResNet50;0.999998;1.1584710588445617;0.0008448355423752219;0.9230289369821547;0.00022458452513092199;0.9932140320539474;0.30630928;0.30630928;0.6789676293656879;0.2639693907652429;[1.15847106];-0.7179643774696913;0.061070652060173355;0.05401167973973659;0.03956733218178873;0.04876409304735296;-0.026450777240149506;0.15244269897127422;-0.05487035679624142;0.22464545211830492;0.0010799720324672628;0.06605512035724158;-0.016560774092572377;0.12561354535629646;0.2639693907652429;-0.06084834133778385;1.5434614539992098;1.107611694680508;0.9904797825939815
00000001;mean-filled;True;1000;cosine;50;7.2265625;4;[0, 50];ResNet50;0.999998;1.1100569559859066;0.00011587321241677276;0.9999912083148956;4.765317527926527e-05;0.9999979734420776;0.44653398;0.44653398;0.8986255392463961;0.12798345917546622;[1.11005696];-0.1898560872388802;0.025808670298167816;0.0245113942913044;0.025738655495564547;0.026976979059470215;0.0015362512650881764;0.07443723410581143;-0.015488043020954339;0.1047703880875219;0.007587861791377512;0.0360457339081509;0.002733506562494039;0.05550423054626798;0.12798345917546622;-0.01592896815549552;1.0027202198893153;0.9086041189886205;0.9999660583813643
00000001;mean-filled;False;1000;cosine;100;3.4423828125;4;[50, 100];ResNet50;0.999998;0.8195162076694795;0.0004994182119844482;0.6397302716970438;0.00011699930648319423;0.9081384038925171;0.2068087;0.2068087;0.5925993006088841;0.14231222359372483;[0.81951621];-0.5801925549628979;0.027362521293255043;0.024522186827670333;0.01446471869538851;0.018883802891615585;-0.012915685068898201;0.06583097680737687;-0.02395565566441661;0.09248295970618296;-0.001429860965458196;0.02200068800494591;-0.008369672527898407;0.052944458387447296;0.14231222359372483;-0.02604965993774936;1.8916732409029478;1.2985830750520169;0.9062985762959933
00000001;mean-filled;True;1000;cosine;100;3.4423828125;4;[50, 100];ResNet50;0.999998;1.0359742696240744;0.00014590768550988288;0.9999849915504455;4.5851102404412815e-05;0.9999979746341705;0.43275407;0.43275407;0.8651123925785466;0.11373896539941838;[1.03597427];-0.20501257764563952;0.020689629727161235;0.01852168965207147;0.012782080278952944;0.01576037331210718;-0.009021900016968273;0.04845616160387245;-0.017826495189770145;0.07525423579443141;-6.229612360779167e-05;0.017848595506745408;-0.005534158114245585;0.037093827877402674;0.11373896539941838;-0.02231843444657019;1.6186433879021174;1.1752062774961705;0.9999475312323629
00000001;mean-filled;False;1000;cosine;150;3.02734375;4;[100, 150];ResNet50;0.999998;0.9998762372019245;0.0015810573066119104;0.7820378243923186;0.0005774840898811818;0.9502636659145356;0.25023642;0.25023642;0.6976638769104299;0.21018550110692394;[0.99987624];-0.6064094792191297;0.031004870385982368;0.028192265910975095;0.011932425458266624;0.017575008044764237;-0.013053184799748313;0.06404951911887809;-0.02393387761468692;0.12713729870730253;-0.0029438684126609637;0.01571745770416929;-0.00943232828861689;0.04767612302781312;0.21018550110692394;-0.039469092140192806;2.598371177295108;1.6041111241126198;0.9465840610247203
00000001;mean-filled;True;1000;cosine;150;3.02734375;4;[100, 150];ResNet50;0.999998;1.099810741051003;0.0001587324011779856;0.9999936938285828;8.827700119582005e-05;0.9999979734420776;0.44633883;0.44633883;0.8900224407579045;0.11522204452494422;[1.09981074];-0.22450329066605662;0.016489667568469278;0.014953606323998768;0.00874505816630744;0.011170265742478641;-0.007451181654275361;0.039712039750862904;-0.010623297581702277;0.07154562057269605;-0.00026188384295282253;0.012285703969348066;-0.0052249170109559834;0.025156178948301626;0.11522204452494422;-0.01299464291690514;1.8855983865264516;1.338697455256836;0.9999283823621591
00000001;mean-filled;False;1000;cosine;200;2.877426147460937;4;[150, 200];ResNet50;0.999998;1.1095340815212138;0.002955066284630448;0.8433124125003814;0.0006655685126315803;0.9659790599346161;0.26502776;0.26502776;0.7082810134326072;0.21198028082081563;[1.10953408];-0.6830934202344177;0.028247979828788242;0.026049697414622867;0.009117378544484191;0.014229835576619948;-0.012020043176107782;0.060093479995167086;-0.02258776748748045;0.12311175009925869;-0.002956504330680825;0.008829079636660169;-0.008839594786961783;0.030568794938671512;0.21198028082081563;-0.029999857723841707;3.0982567731464474;1.8306393826098253;0.9614956883448691
00000001;mean-filled;True;1000;cosine;200;2.877426147460937;4;[150, 200];ResNet50;0.999998;1.0794788111752065;0.00022817473000031897;0.9999912679195404;0.00011815664765890688;0.9999980926513672;0.4419319;0.4419319;0.8955410510892794;0.11603170341342998;[1.07947881];-0.21286443690397905;0.014565287836886497;0.012845459889780114;0.006505693900240309;0.009458637487240325;-0.00849017768807152;0.02945912722803893;-0.01467447908083176;0.05877140002510002;-0.0009249688574987955;0.009430394067028619;-0.0060189676117672255;0.020536635782078146;0.11603170341342998;-0.0164189692490226;2.238852313101986;1.358066625040721;0.9998830468517721
00000002;mean-filled;False;1000;cosine;50;13.28125;4;[0, 50];ResNet50;0.9993297;1.0001265779230848;0.995337575674057;0.9998119592666626;0.991451063156128;0.9999173128604889;0.0018966645;0.0018966645;0.4210892381743553;0.001241984132250339;[1.00012658];0.9967404757467936;0.00030516298426985734;0.00023880641517506996;7.679920198639394e-05;0.0002049245238263694;-0.00031713479120246596;0.0005180428373594804;-0.0004780166925783557;0.0011677123733172313;-0.00010487631611809847;0.00018787686566483304;-0.00020297518423851012;0.00034071448007544987;0.001241984132250339;-0.0005060416911543168;3.973517645716179;1.1653383924776537;0.009059949349784132
00000002;mean-filled;True;1000;cosine;50;13.28125;4;[0, 50];ResNet50;0.9993297;1.0024712868343166;0.9774737387895585;0.9997528374195099;0.9645297515392304;0.9998802447319031;0.007361479;0.007361479;0.37028383212490246;0.0026000770827622555;[1.00247129];0.9886672133196412;0.000784491775579036;0.0005608285237939931;0.00026021640299736905;0.0006071336666987658;-0.0011440705763953924;0.0013778254316811193;-0.0016345770987405955;0.0022067753069880567;-9.177054656816499e-05;0.0006563465366994459;-0.0005862673569508537;0.0012177426856902376;0.0026000770827622555;-0.0018602464875933044;3.0147668115563326;0.9237315513129872;0.03215499484968658
